factor,late_bull_2021H2_mean,late_bull_2021H2_n,bear_rate_shock_2022_mean,bear_rate_shock_2022_n,ai_bull_2023_plus_mean,ai_bull_2023_plus_n
ret_12_1,-0.08788971497848429,5,-0.003255510672310863,12,0.0326387448253917,41
ret_13w,-0.08509014909459801,5,-0.014863889738144759,12,0.010689512724861464,41
volatility_26w,0.025687750356485593,5,0.011008961110597936,12,-0.03189813284487334,41
beta_52w,0.021680116931619007,5,0.023902992327281866,12,-0.04383254769068624,41
ep,0.06281774493796462,5,0.04773590782745873,12,-0.002299511405329125,41
bp,0.07842052621990403,5,0.02765984260395959,12,0.005258395492392108,41
fcf_yield,0.07372544398517461,5,0.024348686935403735,12,0.0012414700159537701,41
net_payout_yield,0.057909638763828555,5,0.04615340576774857,12,0.011059974931118072,41
gpa,-0.06892463410823103,5,-0.008066835651081907,12,0.003423401994424044,41
roe,-0.015914051957117054,5,0.008002755205073061,12,-0.007957087193547801,41
oper_margin,-0.024184330559212253,5,-0.002004478499391204,12,-0.016301643245497634,41
ev_ebitda_yield,0.07945132940630749,5,0.0427057304837604,12,0.007479134415108639,41
